178.000s     6024 msg/s   6020 msg/s 125/358/765/6182/18612 µs
179.000s     6024 msg/s   6027 msg/s 133/365/876/9412/31562 µs
180.000s     6029 msg/s   6031 msg/s 114/293/595/2913/6304 µs
181.000s     6030 msg/s   6025 msg/s 124/344/1197/14951/29759 µs
182.000s     6024 msg/s   6018 msg/s 121/325/686/2839/11770 µs
183.000s     6024 msg/s   6035 msg/s 131/387/1102/13152/22313 µs
184.000s     6030 msg/s   6028 msg/s 131/383/1047/19009/27896 µs
185.000s     6024 msg/s   6023 msg/s 131/335/725/4724/12799 µs
186.000s     6029 msg/s   6032 msg/s 139/540/1911/17180/28103 µs
187.000s     6030 msg/s   6029 msg/s 133/456/1110/17609/25780 µs
188.000s     6024 msg/s   6022 msg/s 117/322/637/5019/10026 µs
189.000s     6023 msg/s   6026 msg/s 128/451/1890/12706/15937 µs
190.000s     6023 msg/s   6024 msg/s 130/342/748/6506/12067 µs
191.000s     6030 msg/s   6029 msg/s 127/361/1076/9766/18045 µs
192.000s     6024 msg/s   6024 msg/s 124/425/1268/13326/21490 µs
193.000s     6023 msg/s   6022 msg/s 129/334/628/4191/13025 µs
194.000s     6030 msg/s   6029 msg/s 128/378/789/8966/24018 µs
195.000s     6024 msg/s   5936 msg/s 123/306/703/9076/22995 µs
196.000s     6029 msg/s   6114 msg/s 133/431/1585/23329/49702 µs
197.000s     6024 msg/s   5970 msg/s 122/364/1342/18168/24382 µs
198.000s     6029 msg/s   6086 msg/s 123/481/4471/23191/42651 µs
199.000s     6030 msg/s   6031 msg/s 111/418/2286/11821/17473 µs
200.000s     6024 msg/s   6024 msg/s 137/619/2393/21705/33662 µs
201.000s     6029 msg/s   6029 msg/s 124/317/686/5287/10080 µs
202.000s     6023 msg/s   6024 msg/s 134/327/701/5011/10083 µs
203.000s     6029 msg/s   5988 msg/s 129/340/757/8875/20179 µs
204.000s     6025 msg/s   6055 msg/s 133/374/1455/33887/57170 µs
205.000s     6023 msg/s   6031 msg/s 118/410/4144/23065/43495 µs
206.000s     6030 msg/s   5980 msg/s 128/458/2493/30647/49495 µs
207.000s     6023 msg/s   6075 msg/s 129/351/3207/31192/39287 µs
208.000s     6029 msg/s   6015 msg/s 128/344/833/8567/19981 µs
209.000s     6025 msg/s   6019 msg/s 130/328/793/9427/29343 µs
210.000s     6029 msg/s   6047 msg/s 124/328/853/5944/10634 µs
211.000s     6023 msg/s   6023 msg/s 122/364/1362/26404/37706 µs
212.000s     6023 msg/s   6024 msg/s 118/319/757/16198/36733 µs
213.000s     6024 msg/s   6020 msg/s 119/328/766/7154/14645 µs
214.000s     6029 msg/s   6032 msg/s 129/433/2114/17494/22797 µs
215.000s     6029 msg/s   5987 msg/s 119/324/886/9448/13297 µs
216.000s     6029 msg/s   6071 msg/s 117/289/565/3543/6325 µs
217.000s     6024 msg/s   6023 msg/s 128/330/1323/11164/27433 µs
218.000s     6029 msg/s   6028 msg/s 125/332/750/7775/15789 µs
219.000s     6023 msg/s   6025 msg/s 123/322/926/14863/22381 µs
220.000s     6024 msg/s   5978 msg/s 120/369/2367/12265/18295 µs
221.003s     6025 msg/s   6071 msg/s 131/422/1481/10671/18803 µs
222.000s     6027 msg/s   6026 msg/s 122/348/679/3641/6969 µs
223.000s     6029 msg/s   6027 msg/s 128/368/1066/23795/38689 µs
224.000s     6025 msg/s   6027 msg/s 126/348/883/9390/16212 µs
225.000s     6029 msg/s   6029 msg/s 119/549/1068/5917/12602 µs
226.000s     6029 msg/s   6030 msg/s 131/343/733/5872/11663 µs
227.000s     6024 msg/s   6024 msg/s 125/338/721/11318/20071 µs
228.000s     6029 msg/s   6030 msg/s 121/556/4243/19476/26560 µs
229.000s     6024 msg/s   6022 msg/s 126/511/1549/14406/31440 µs
230.000s     6024 msg/s   6024 msg/s 123/310/688/4950/14956 µs
231.000s     6029 msg/s   6029 msg/s 124/379/895/7838/15576 µs
232.000s     6023 msg/s   6017 msg/s 125/484/880/5988/19963 µs
233.000s     6029 msg/s   6029 msg/s 134/378/786/2224/7037 µs
234.000s     6029 msg/s   6036 msg/s 120/355/839/6887/13758 µs
235.001s     6024 msg/s   6023 msg/s 131/379/762/5872/14444 µs
236.000s     6028 msg/s   6028 msg/s 132/392/1027/6388/12127 µs
237.000s     6030 msg/s   6029 msg/s 130/361/815/8566/12566 µs
238.000s     6024 msg/s   6025 msg/s 114/314/893/9243/13208 µs
239.000s     6029 msg/s   6030 msg/s 129/350/1111/12458/19506 µs
240.000s     6024 msg/s   6023 msg/s 116/313/629/5568/14954 µs
241.000s     6030 msg/s   6029 msg/s 121/327/1015/12562/29065 µs
242.000s     6023 msg/s   6024 msg/s 114/354/1195/8508/20914 µs
243.000s     6029 msg/s   6030 msg/s 125/456/1060/13194/36912 µs
244.000s     6030 msg/s   6028 msg/s 122/340/804/3974/8568 µs
245.000s     6029 msg/s   6031 msg/s 118/341/1357/11807/21305 µs
246.000s     6024 msg/s   5952 msg/s 130/359/1040/8859/16033 µs
247.000s     6024 msg/s   6094 msg/s 136/434/1640/32733/60451 µs
248.000s     6024 msg/s   6022 msg/s 117/297/893/23421/39601 µs
249.000s     6022 msg/s   6026 msg/s 136/572/1254/6306/10148 µs
250.000s     6030 msg/s   6030 msg/s 126/495/1354/31096/44858 µs
251.000s     6023 msg/s   6020 msg/s 122/338/745/6115/14128 µs
252.001s     6019 msg/s   6022 msg/s 121/315/682/4676/11393 µs
253.000s     6033 msg/s   6033 msg/s 126/338/869/12825/24619 µs
254.000s     6029 msg/s   6030 msg/s 129/476/960/8939/30049 µs
255.000s     6030 msg/s   6027 msg/s 129/320/923/16833/32167 µs
256.000s     6022 msg/s   6015 msg/s 128/452/2073/18674/25497 µs
257.000s     6030 msg/s   5916 msg/s 111/367/2831/28943/47494 µs
258.000s     6029 msg/s   6150 msg/s 134/359/857/14948/27462 µs
259.000s     6024 msg/s   6024 msg/s 121/323/670/7175/14723 µs
260.000s     6029 msg/s   6029 msg/s 137/484/1879/26368/39742 µs
261.000s     6023 msg/s   5970 msg/s 118/293/578/6157/23142 µs
262.000s     6024 msg/s   6064 msg/s 135/341/696/7436/21488 µs
263.000s     6029 msg/s   6010 msg/s 128/350/772/6605/12534 µs
264.000s     6023 msg/s   6057 msg/s 133/407/1952/17990/21277 µs
265.000s     6030 msg/s   6022 msg/s 129/378/1153/12900/18909 µs
266.000s     6023 msg/s   5919 msg/s 126/364/755/5483/17231 µs
267.000s     6030 msg/s   6127 msg/s 121/361/2175/9845/16936 µs
268.000s     6024 msg/s   6037 msg/s 131/373/826/9989/17873 µs
269.000s     6023 msg/s   6019 msg/s 119/332/680/10102/23303 µs
270.000s     6028 msg/s   6034 msg/s 119/318/740/8366/21539 µs
271.000s     6030 msg/s   6021 msg/s 112/349/917/10807/25930 µs
272.000s     6024 msg/s   6031 msg/s 128/394/1573/14312/31789 µs
273.000s     6022 msg/s   6024 msg/s 124/349/1166/15163/23967 µs
274.000s     6030 msg/s   6028 msg/s 125/359/837/3341/8590 µs
